Generation, Score, Total, Percent
1,12.0,100,12
2,17.0,100,17
3,17.0,100,17
4,17.0,100,17
5,17.0,100,17
6,17.0,100,17
7,18.0,100,18
8,17.0,100,17
9,16.0,100,16
10,18.0,100,18
11,18.0,100,18
12,22.0,100,22
13,19.0,100,19
14,20.0,100,20
15,24.0,100,24
16,23.0,100,23
17,28.0,100,28
18,28.0,100,28
19,27.0,100,27
20,30.0,100,30
21,30.0,100,30
22,31.0,100,31
23,29.0,100,29
24,30.0,100,30
25,29.0,100,29
26,30.0,100,30
27,31.0,100,31
28,31.0,100,31
29,31.0,100,31
30,32.0,100,32
31,30.0,100,30
32,32.0,100,32
33,33.0,100,33
34,33.0,100,33
35,33.0,100,33
36,33.0,100,33
37,33.0,100,33
38,33.0,100,33
39,34.0,100,34
40,34.0,100,34
41,33.0,100,33
42,33.0,100,33
43,34.0,100,34
44,35.0,100,35
45,34.0,100,34
46,33.0,100,33
47,34.0,100,34
48,34.0,100,34
49,33.0,100,33
50,34.0,100,34
51,33.0,100,33
52,33.0,100,33
53,35.0,100,35
54,36.0,100,36
55,36.0,100,36
56,36.0,100,36
57,35.0,100,35
58,35.0,100,35
59,34.0,100,34
60,36.0,100,36
61,36.0,100,36
62,37.0,100,37
63,36.0,100,36
64,35.0,100,35
65,36.0,100,36
66,35.0,100,35
67,35.0,100,35
68,35.0,100,35
69,36.0,100,36
70,37.0,100,37
71,36.0,100,36
72,37.0,100,37
73,37.0,100,37
74,36.0,100,36
75,37.0,100,37
76,37.0,100,37
77,36.0,100,36
78,35.0,100,35
79,37.0,100,37
80,36.0,100,36
81,36.0,100,36
82,37.0,100,37
83,36.0,100,36
84,36.0,100,36
85,35.0,100,35
86,35.0,100,35
87,38.0,100,38
88,37.0,100,37
89,37.0,100,37
90,39.0,100,39
91,38.0,100,38
92,40.0,100,40
93,39.0,100,39
94,41.0,100,41
95,40.0,100,40
96,39.0,100,39
97,40.0,100,40
98,39.0,100,39
99,39.0,100,39
100,40.0,100,40
