Generation, Score, Total, Percent
1,10.0,100,10
2,23.0,100,23
3,21.0,100,21
4,23.0,100,23
5,23.0,100,23
6,22.0,100,22
7,23.0,100,23
8,23.0,100,23
9,23.0,100,23
10,23.0,100,23
11,23.0,100,23
12,23.0,100,23
13,24.0,100,24
14,24.0,100,24
15,25.0,100,25
16,28.0,100,28
17,26.0,100,26
18,27.0,100,27
19,28.0,100,28
20,29.0,100,29
21,32.0,100,32
22,32.0,100,32
23,31.0,100,31
24,36.0,100,36
25,37.0,100,37
26,39.0,100,39
27,41.0,100,41
28,40.0,100,40
29,44.0,100,44
30,42.0,100,42
31,45.0,100,45
32,46.0,100,46
33,46.0,100,46
34,50.0,100,50
35,51.0,100,51
36,48.0,100,48
37,49.0,100,49
38,50.0,100,50
39,49.0,100,49
40,51.0,100,51
41,50.0,100,50
42,50.0,100,50
43,50.0,100,50
44,50.0,100,50
45,52.0,100,52
46,52.0,100,52
47,53.0,100,53
48,51.0,100,51
49,54.0,100,54
50,54.0,100,54
51,53.0,100,53
52,54.0,100,54
53,54.0,100,54
54,54.0,100,54
55,55.0,100,55
56,54.0,100,54
57,56.0,100,56
58,57.0,100,57
59,57.0,100,57
60,57.0,100,57
61,58.0,100,58
62,60.0,100,60
63,59.0,100,59
64,58.0,100,58
65,59.0,100,59
66,58.0,100,58
67,60.0,100,60
68,58.0,100,58
69,59.0,100,59
70,59.0,100,59
71,60.0,100,60
72,61.0,100,61
73,60.0,100,60
74,60.0,100,60
75,59.0,100,59
76,60.0,100,60
77,59.0,100,59
78,61.0,100,61
79,63.0,100,63
80,61.0,100,61
81,62.0,100,62
82,62.0,100,62
83,65.0,100,65
84,67.0,100,67
85,65.0,100,65
86,67.0,100,67
87,66.0,100,66
88,64.0,100,64
89,65.0,100,65
90,64.0,100,64
91,63.0,100,63
92,63.0,100,63
93,64.0,100,64
94,64.0,100,64
95,63.0,100,63
96,63.0,100,63
97,63.0,100,63
98,64.0,100,64
99,65.0,100,65
100,64.0,100,64
