Generation, Score, Total, Percent
1,10.0,100,10
2,20.0,100,20
3,17.0,100,17
4,17.0,100,17
5,17.0,100,17
6,17.0,100,17
7,18.0,100,18
8,18.0,100,18
9,18.0,100,18
10,17.0,100,17
11,15.0,100,15
12,14.0,100,14
13,14.0,100,14
14,12.0,100,12
15,14.0,100,14
16,13.0,100,13
17,15.0,100,15
18,13.0,100,13
19,15.0,100,15
20,16.0,100,16
21,16.0,100,16
22,17.0,100,17
23,17.0,100,17
24,17.0,100,17
25,18.0,100,18
26,20.0,100,20
27,20.0,100,20
28,21.0,100,21
29,22.0,100,22
30,23.0,100,23
31,23.0,100,23
32,24.0,100,24
33,24.0,100,24
34,23.0,100,23
35,23.0,100,23
36,25.0,100,25
37,24.0,100,24
38,24.0,100,24
39,25.0,100,25
40,24.0,100,24
41,24.0,100,24
42,26.0,100,26
43,24.0,100,24
44,25.0,100,25
45,25.0,100,25
46,26.0,100,26
47,27.0,100,27
48,27.0,100,27
49,27.0,100,27
50,26.0,100,26
51,26.0,100,26
52,27.0,100,27
53,27.0,100,27
54,28.0,100,28
55,27.0,100,27
56,28.0,100,28
57,29.0,100,29
58,29.0,100,29
59,28.0,100,28
60,29.0,100,29
61,29.0,100,29
62,28.0,100,28
63,28.0,100,28
64,29.0,100,29
65,29.0,100,29
66,29.0,100,29
67,28.0,100,28
68,29.0,100,29
69,29.0,100,29
70,29.0,100,29
71,30.0,100,30
72,30.0,100,30
73,30.0,100,30
74,30.0,100,30
75,31.0,100,31
76,30.0,100,30
77,31.0,100,31
78,31.0,100,31
79,31.0,100,31
80,32.0,100,32
81,32.0,100,32
82,32.0,100,32
83,32.0,100,32
84,32.0,100,32
85,32.0,100,32
86,33.0,100,33
87,32.0,100,32
88,33.0,100,33
89,34.0,100,34
90,34.0,100,34
91,34.0,100,34
92,34.0,100,34
93,34.0,100,34
94,34.0,100,34
95,34.0,100,34
96,34.0,100,34
97,35.0,100,35
98,35.0,100,35
99,35.0,100,35
100,35.0,100,35
