Generation, Score, Total, Percent
1,100.0,1000,10
2,125.0,1000,12.5
3,134.0,1000,13.4
4,135.0,1000,13.5
5,138.0,1000,13.8
6,130.0,1000,13
7,127.0,1000,12.7
8,121.0,1000,12.1
9,124.0,1000,12.4
10,120.0,1000,12
11,126.0,1000,12.6
12,122.0,1000,12.2
13,124.0,1000,12.4
14,125.0,1000,12.5
15,124.0,1000,12.4
16,131.0,1000,13.1
17,133.0,1000,13.3
18,134.0,1000,13.4
19,154.0,1000,15.4
20,145.0,1000,14.5
21,140.0,1000,14
22,145.0,1000,14.5
23,148.0,1000,14.8
24,152.0,1000,15.2
25,167.0,1000,16.7
26,172.0,1000,17.2
27,174.0,1000,17.4
28,170.0,1000,17
29,199.0,1000,19.9
30,201.0,1000,20.1
31,200.0,1000,20
32,195.0,1000,19.5
33,202.0,1000,20.2
34,218.0,1000,21.8
35,234.0,1000,23.4
36,228.0,1000,22.8
37,236.0,1000,23.6
38,220.0,1000,22
39,216.0,1000,21.6
40,213.0,1000,21.3
41,223.0,1000,22.3
42,231.0,1000,23.1
43,239.0,1000,23.9
44,239.0,1000,23.9
45,258.0,1000,25.8
46,255.0,1000,25.5
47,242.0,1000,24.2
48,258.0,1000,25.8
49,255.0,1000,25.5
50,268.0,1000,26.8
51,264.0,1000,26.4
52,267.0,1000,26.7
53,273.0,1000,27.3
54,275.0,1000,27.5
55,288.0,1000,28.8
56,292.0,1000,29.2
57,289.0,1000,28.9
58,292.0,1000,29.2
59,287.0,1000,28.7
60,290.0,1000,29
61,309.0,1000,30.9
62,297.0,1000,29.7
63,301.0,1000,30.1
64,299.0,1000,29.9
65,300.0,1000,30
66,299.0,1000,29.9
67,305.0,1000,30.5
68,304.0,1000,30.4
69,307.0,1000,30.7
70,307.0,1000,30.7
71,308.0,1000,30.8
72,314.0,1000,31.4
73,325.0,1000,32.5
74,341.0,1000,34.1
75,345.0,1000,34.5
76,348.0,1000,34.8
77,343.0,1000,34.3
78,342.0,1000,34.2
79,351.0,1000,35.1
80,353.0,1000,35.3
81,363.0,1000,36.3
82,361.0,1000,36.1
83,360.0,1000,36
84,368.0,1000,36.8
85,364.0,1000,36.4
86,364.0,1000,36.4
87,362.0,1000,36.2
88,362.0,1000,36.2
89,359.0,1000,35.9
90,357.0,1000,35.7
91,355.0,1000,35.5
92,355.0,1000,35.5
93,358.0,1000,35.8
94,360.0,1000,36
95,361.0,1000,36.1
96,358.0,1000,35.8
97,359.0,1000,35.9
98,367.0,1000,36.7
99,367.0,1000,36.7
100,367.0,1000,36.7
