Generation, Score, Total, Percent
1,10.0,100,10
2,17.0,100,17
3,17.0,100,17
4,17.0,100,17
5,18.0,100,18
6,19.0,100,19
7,19.0,100,19
8,17.0,100,17
9,17.0,100,17
10,17.0,100,17
11,17.0,100,17
12,17.0,100,17
13,17.0,100,17
14,18.0,100,18
15,18.0,100,18
16,19.0,100,19
17,22.0,100,22
18,17.0,100,17
19,22.0,100,22
20,19.0,100,19
21,22.0,100,22
22,19.0,100,19
23,22.0,100,22
24,22.0,100,22
25,19.0,100,19
26,20.0,100,20
27,20.0,100,20
28,21.0,100,21
29,22.0,100,22
30,24.0,100,24
31,25.0,100,25
32,25.0,100,25
33,26.0,100,26
34,26.0,100,26
35,25.0,100,25
36,27.0,100,27
37,27.0,100,27
38,27.0,100,27
39,26.0,100,26
40,26.0,100,26
41,26.0,100,26
42,27.0,100,27
43,27.0,100,27
44,28.0,100,28
45,30.0,100,30
46,29.0,100,29
47,29.0,100,29
48,29.0,100,29
49,30.0,100,30
50,29.0,100,29
51,29.0,100,29
52,30.0,100,30
53,30.0,100,30
54,30.0,100,30
55,30.0,100,30
56,30.0,100,30
57,30.0,100,30
58,30.0,100,30
59,30.0,100,30
60,31.0,100,31
61,32.0,100,32
62,31.0,100,31
63,32.0,100,32
64,32.0,100,32
65,31.0,100,31
66,32.0,100,32
67,32.0,100,32
68,32.0,100,32
69,32.0,100,32
70,32.0,100,32
71,33.0,100,33
72,33.0,100,33
73,33.0,100,33
74,32.0,100,32
75,33.0,100,33
76,32.0,100,32
77,33.0,100,33
78,32.0,100,32
79,32.0,100,32
80,34.0,100,34
81,31.0,100,31
82,34.0,100,34
83,33.0,100,33
84,33.0,100,33
85,33.0,100,33
86,32.0,100,32
87,33.0,100,33
88,32.0,100,32
89,33.0,100,33
90,34.0,100,34
91,34.0,100,34
92,34.0,100,34
93,34.0,100,34
94,35.0,100,35
95,34.0,100,34
96,34.0,100,34
97,34.0,100,34
98,33.0,100,33
99,34.0,100,34
100,34.0,100,34
