Generation, Score, Total, Percent
1,27.0,100,27
2,34.0,100,34
3,35.0,100,35
4,37.0,100,37
5,39.0,100,39
6,40.0,100,40
7,43.0,100,43
8,47.0,100,47
9,52.0,100,52
10,53.0,100,53
11,54.0,100,54
12,57.0,100,57
13,58.0,100,58
14,58.0,100,58
15,59.0,100,59
16,62.0,100,62
17,63.0,100,63
18,63.0,100,63
19,63.0,100,63
20,67.0,100,67
21,67.0,100,67
22,68.0,100,68
23,68.0,100,68
24,68.0,100,68
25,68.0,100,68
26,68.0,100,68
27,68.0,100,68
28,68.0,100,68
29,68.0,100,68
30,71.0,100,71
31,71.0,100,71
32,71.0,100,71
33,72.0,100,72
34,72.0,100,72
35,72.0,100,72
36,72.0,100,72
37,72.0,100,72
38,73.0,100,73
39,73.0,100,73
40,73.0,100,73
41,74.0,100,74
42,74.0,100,74
43,76.0,100,76
44,76.0,100,76
45,77.0,100,77
46,78.0,100,78
47,79.0,100,79
48,79.0,100,79
49,79.0,100,79
50,79.0,100,79
51,79.0,100,79
52,79.0,100,79
53,79.0,100,79
54,79.0,100,79
55,79.0,100,79
56,79.0,100,79
57,80.0,100,80
58,80.0,100,80
59,80.0,100,80
60,80.0,100,80
61,80.0,100,80
62,82.0,100,82
63,81.0,100,81
64,81.0,100,81
65,81.0,100,81
66,81.0,100,81
67,82.0,100,82
68,82.0,100,82
69,82.0,100,82
70,83.0,100,83
71,83.0,100,83
72,83.0,100,83
73,83.0,100,83
74,83.0,100,83
75,83.0,100,83
76,83.0,100,83
77,83.0,100,83
78,83.0,100,83
79,83.0,100,83
80,83.0,100,83
81,84.0,100,84
82,84.0,100,84
83,84.0,100,84
84,84.0,100,84
85,84.0,100,84
86,84.0,100,84
87,84.0,100,84
88,84.0,100,84
89,84.0,100,84
90,84.0,100,84
91,84.0,100,84
92,84.0,100,84
93,84.0,100,84
94,84.0,100,84
95,84.0,100,84
96,84.0,100,84
97,84.0,100,84
98,84.0,100,84
99,84.0,100,84
100,84.0,100,84
