Generation, Score, Total, Percent
1,9.0,100,9
2,17.0,100,17
3,16.0,100,16
4,21.0,100,21
5,25.0,100,25
6,31.0,100,31
7,38.0,100,38
8,46.0,100,46
9,56.0,100,56
10,63.0,100,63
11,65.0,100,65
12,70.0,100,70
13,71.0,100,71
14,72.0,100,72
15,74.0,100,74
16,74.0,100,74
17,77.0,100,77
18,78.0,100,78
19,78.0,100,78
20,78.0,100,78
21,78.0,100,78
22,78.0,100,78
23,78.0,100,78
24,78.0,100,78
25,79.0,100,79
26,81.0,100,81
27,82.0,100,82
28,82.0,100,82
29,82.0,100,82
30,84.0,100,84
31,85.0,100,85
32,85.0,100,85
33,86.0,100,86
34,87.0,100,87
35,87.0,100,87
36,88.0,100,88
37,89.0,100,89
38,90.0,100,90
39,90.0,100,90
40,90.0,100,90
41,90.0,100,90
42,89.0,100,89
43,90.0,100,90
44,90.0,100,90
45,90.0,100,90
46,90.0,100,90
47,90.0,100,90
48,90.0,100,90
49,91.0,100,91
50,92.0,100,92
51,92.0,100,92
52,92.0,100,92
53,92.0,100,92
54,93.0,100,93
55,93.0,100,93
56,93.0,100,93
57,93.0,100,93
58,93.0,100,93
