Generation, Score, Total, Percent
1,12.0,100,12
2,15.0,100,15
3,19.0,100,19
4,15.0,100,15
5,16.0,100,16
6,18.0,100,18
7,16.0,100,16
8,18.0,100,18
9,21.0,100,21
10,19.0,100,19
11,19.0,100,19
12,20.0,100,20
13,19.0,100,19
14,20.0,100,20
15,20.0,100,20
16,27.0,100,27
17,25.0,100,25
18,30.0,100,30
19,33.0,100,33
20,34.0,100,34
21,36.0,100,36
22,35.0,100,35
23,35.0,100,35
24,37.0,100,37
25,39.0,100,39
26,42.0,100,42
27,43.0,100,43
28,45.0,100,45
29,43.0,100,43
30,45.0,100,45
31,43.0,100,43
32,44.0,100,44
33,46.0,100,46
34,47.0,100,47
35,46.0,100,46
36,46.0,100,46
37,45.0,100,45
38,44.0,100,44
39,47.0,100,47
40,47.0,100,47
41,50.0,100,50
42,51.0,100,51
43,53.0,100,53
44,52.0,100,52
45,51.0,100,51
46,53.0,100,53
47,53.0,100,53
48,55.0,100,55
49,54.0,100,54
50,54.0,100,54
51,55.0,100,55
52,54.0,100,54
53,55.0,100,55
54,54.0,100,54
55,55.0,100,55
56,55.0,100,55
57,55.0,100,55
58,54.0,100,54
59,55.0,100,55
60,57.0,100,57
61,58.0,100,58
62,57.0,100,57
63,59.0,100,59
64,60.0,100,60
65,61.0,100,61
66,59.0,100,59
67,59.0,100,59
68,59.0,100,59
69,60.0,100,60
70,59.0,100,59
71,61.0,100,61
72,62.0,100,62
73,60.0,100,60
74,64.0,100,64
75,63.0,100,63
76,62.0,100,62
77,62.0,100,62
78,61.0,100,61
79,62.0,100,62
80,61.0,100,61
81,63.0,100,63
82,62.0,100,62
83,61.0,100,61
84,62.0,100,62
85,63.0,100,63
86,62.0,100,62
87,63.0,100,63
88,64.0,100,64
89,62.0,100,62
90,62.0,100,62
91,64.0,100,64
92,63.0,100,63
93,63.0,100,63
94,64.0,100,64
95,64.0,100,64
96,64.0,100,64
97,64.0,100,64
98,65.0,100,65
99,66.0,100,66
100,65.0,100,65
