Generation, Score, Total, Percent
1,10.0,100,10
2,10.0,100,10
3,8.0,100,8
4,7.0,100,7
5,9.0,100,9
6,7.0,100,7
7,6.0,100,6
8,6.0,100,6
9,7.0,100,7
10,8.0,100,8
11,8.0,100,8
12,8.0,100,8
13,8.0,100,8
14,8.0,100,8
15,8.0,100,8
16,8.0,100,8
17,8.0,100,8
18,8.0,100,8
19,8.0,100,8
20,8.0,100,8
21,8.0,100,8
22,8.0,100,8
23,8.0,100,8
24,8.0,100,8
25,8.0,100,8
26,8.0,100,8
27,8.0,100,8
28,8.0,100,8
29,8.0,100,8
30,8.0,100,8
31,8.0,100,8
32,8.0,100,8
33,8.0,100,8
34,8.0,100,8
35,8.0,100,8
36,8.0,100,8
37,8.0,100,8
38,8.0,100,8
39,8.0,100,8
40,8.0,100,8
41,8.0,100,8
42,8.0,100,8
43,8.0,100,8
44,8.0,100,8
45,8.0,100,8
46,8.0,100,8
47,8.0,100,8
48,8.0,100,8
49,8.0,100,8
50,8.0,100,8
51,8.0,100,8
52,8.0,100,8
53,9.0,100,9
54,9.0,100,9
55,9.0,100,9
56,9.0,100,9
57,9.0,100,9
58,10.0,100,10
59,10.0,100,10
60,10.0,100,10
61,10.0,100,10
62,10.0,100,10
63,10.0,100,10
64,10.0,100,10
65,10.0,100,10
66,10.0,100,10
67,10.0,100,10
68,11.0,100,11
69,11.0,100,11
70,12.0,100,12
71,12.0,100,12
72,12.0,100,12
73,12.0,100,12
74,12.0,100,12
75,12.0,100,12
76,12.0,100,12
77,12.0,100,12
78,12.0,100,12
79,13.0,100,13
80,13.0,100,13
81,14.0,100,14
82,14.0,100,14
83,15.0,100,15
84,15.0,100,15
85,15.0,100,15
86,16.0,100,16
87,18.0,100,18
88,18.0,100,18
89,18.0,100,18
90,18.0,100,18
91,19.0,100,19
92,19.0,100,19
93,19.0,100,19
94,19.0,100,19
95,19.0,100,19
96,19.0,100,19
97,20.0,100,20
98,20.0,100,20
99,21.0,100,21
100,21.0,100,21
