Generation, Score, Total, Percent
1,10.0,100,10
2,18.0,100,18
3,17.0,100,17
4,17.0,100,17
5,18.0,100,18
6,18.0,100,18
7,19.0,100,19
8,18.0,100,18
9,17.0,100,17
10,17.0,100,17
11,17.0,100,17
12,17.0,100,17
13,17.0,100,17
14,17.0,100,17
15,19.0,100,19
16,17.0,100,17
17,17.0,100,17
18,17.0,100,17
19,21.0,100,21
20,22.0,100,22
21,23.0,100,23
22,21.0,100,21
23,21.0,100,21
24,20.0,100,20
25,24.0,100,24
26,22.0,100,22
27,27.0,100,27
28,27.0,100,27
29,29.0,100,29
30,31.0,100,31
31,32.0,100,32
32,32.0,100,32
33,32.0,100,32
34,32.0,100,32
35,31.0,100,31
36,31.0,100,31
37,33.0,100,33
38,32.0,100,32
39,33.0,100,33
40,34.0,100,34
41,34.0,100,34
42,34.0,100,34
43,34.0,100,34
44,34.0,100,34
45,36.0,100,36
46,34.0,100,34
47,35.0,100,35
48,35.0,100,35
49,35.0,100,35
50,35.0,100,35
51,34.0,100,34
52,35.0,100,35
53,35.0,100,35
54,34.0,100,34
55,35.0,100,35
56,35.0,100,35
57,36.0,100,36
58,35.0,100,35
59,35.0,100,35
60,38.0,100,38
61,37.0,100,37
62,37.0,100,37
63,38.0,100,38
64,37.0,100,37
65,38.0,100,38
66,36.0,100,36
67,37.0,100,37
68,36.0,100,36
69,36.0,100,36
70,37.0,100,37
71,37.0,100,37
72,37.0,100,37
73,37.0,100,37
74,37.0,100,37
75,38.0,100,38
76,38.0,100,38
77,39.0,100,39
78,38.0,100,38
79,37.0,100,37
80,37.0,100,37
81,37.0,100,37
82,37.0,100,37
83,37.0,100,37
84,38.0,100,38
85,38.0,100,38
86,38.0,100,38
87,38.0,100,38
88,37.0,100,37
89,38.0,100,38
90,37.0,100,37
91,37.0,100,37
92,37.0,100,37
93,37.0,100,37
94,37.0,100,37
95,37.0,100,37
96,37.0,100,37
97,37.0,100,37
98,37.0,100,37
99,37.0,100,37
100,37.0,100,37
