Generation, Score, Total, Percent
1,10.0,100,10
2,19.0,100,19
3,23.0,100,23
4,23.0,100,23
5,23.0,100,23
6,23.0,100,23
7,23.0,100,23
8,23.0,100,23
9,23.0,100,23
10,23.0,100,23
11,23.0,100,23
12,23.0,100,23
13,23.0,100,23
14,24.0,100,24
15,24.0,100,24
16,24.0,100,24
17,24.0,100,24
18,24.0,100,24
19,27.0,100,27
20,28.0,100,28
21,31.0,100,31
22,35.0,100,35
23,34.0,100,34
24,33.0,100,33
25,37.0,100,37
26,39.0,100,39
27,35.0,100,35
28,32.0,100,32
29,34.0,100,34
30,39.0,100,39
31,40.0,100,40
32,42.0,100,42
33,40.0,100,40
34,43.0,100,43
35,43.0,100,43
36,45.0,100,45
37,46.0,100,46
38,46.0,100,46
39,47.0,100,47
40,48.0,100,48
41,48.0,100,48
42,49.0,100,49
43,49.0,100,49
44,49.0,100,49
45,50.0,100,50
46,49.0,100,49
47,52.0,100,52
48,54.0,100,54
49,54.0,100,54
50,54.0,100,54
51,54.0,100,54
52,53.0,100,53
53,52.0,100,52
54,52.0,100,52
55,54.0,100,54
56,53.0,100,53
57,53.0,100,53
58,55.0,100,55
59,54.0,100,54
60,55.0,100,55
61,55.0,100,55
62,58.0,100,58
63,59.0,100,59
64,58.0,100,58
65,58.0,100,58
66,59.0,100,59
67,60.0,100,60
68,61.0,100,61
69,61.0,100,61
70,61.0,100,61
71,62.0,100,62
72,60.0,100,60
73,60.0,100,60
74,60.0,100,60
75,59.0,100,59
76,61.0,100,61
77,60.0,100,60
78,61.0,100,61
79,61.0,100,61
80,62.0,100,62
81,61.0,100,61
82,61.0,100,61
83,63.0,100,63
84,63.0,100,63
85,62.0,100,62
86,62.0,100,62
87,64.0,100,64
88,66.0,100,66
89,66.0,100,66
90,68.0,100,68
91,65.0,100,65
92,65.0,100,65
93,66.0,100,66
94,68.0,100,68
95,69.0,100,69
96,69.0,100,69
97,70.0,100,70
98,71.0,100,71
99,72.0,100,72
100,71.0,100,71
