Generation, Score, Total, Percent
1,10.0,100,10
2,17.0,100,17
3,17.0,100,17
4,17.0,100,17
5,18.0,100,18
6,18.0,100,18
7,19.0,100,19
8,18.0,100,18
9,18.0,100,18
10,17.0,100,17
11,17.0,100,17
12,17.0,100,17
13,17.0,100,17
14,17.0,100,17
15,17.0,100,17
16,17.0,100,17
17,17.0,100,17
18,17.0,100,17
19,17.0,100,17
20,17.0,100,17
21,17.0,100,17
22,18.0,100,18
23,18.0,100,18
24,17.0,100,17
25,18.0,100,18
26,18.0,100,18
27,18.0,100,18
28,18.0,100,18
29,18.0,100,18
30,19.0,100,19
31,19.0,100,19
32,20.0,100,20
33,20.0,100,20
34,19.0,100,19
35,20.0,100,20
36,20.0,100,20
37,21.0,100,21
38,21.0,100,21
39,21.0,100,21
40,21.0,100,21
41,21.0,100,21
42,21.0,100,21
43,21.0,100,21
44,21.0,100,21
45,21.0,100,21
46,20.0,100,20
47,21.0,100,21
48,21.0,100,21
49,21.0,100,21
50,21.0,100,21
51,21.0,100,21
52,21.0,100,21
53,22.0,100,22
54,22.0,100,22
55,22.0,100,22
56,22.0,100,22
57,22.0,100,22
58,22.0,100,22
59,23.0,100,23
60,22.0,100,22
61,24.0,100,24
62,24.0,100,24
63,23.0,100,23
64,25.0,100,25
65,26.0,100,26
66,26.0,100,26
67,25.0,100,25
68,24.0,100,24
69,25.0,100,25
70,25.0,100,25
71,25.0,100,25
72,25.0,100,25
73,25.0,100,25
74,26.0,100,26
75,24.0,100,24
76,27.0,100,27
77,26.0,100,26
78,27.0,100,27
79,27.0,100,27
80,26.0,100,26
81,27.0,100,27
82,28.0,100,28
83,27.0,100,27
84,26.0,100,26
85,27.0,100,27
86,27.0,100,27
87,27.0,100,27
88,27.0,100,27
89,28.0,100,28
90,29.0,100,29
91,29.0,100,29
92,28.0,100,28
93,29.0,100,29
94,28.0,100,28
95,29.0,100,29
96,29.0,100,29
97,29.0,100,29
98,29.0,100,29
99,30.0,100,30
100,29.0,100,29
