Generation, Score, Total, Percent
1,11.0,100,11
2,15.0,100,15
3,21.0,100,21
4,23.0,100,23
5,34.0,100,34
6,37.0,100,37
7,45.0,100,45
8,49.0,100,49
9,53.0,100,53
10,55.0,100,55
11,59.0,100,59
12,63.0,100,63
13,68.0,100,68
14,72.0,100,72
15,75.0,100,75
16,77.0,100,77
17,78.0,100,78
18,79.0,100,79
19,80.0,100,80
20,80.0,100,80
21,81.0,100,81
22,81.0,100,81
23,81.0,100,81
24,82.0,100,82
25,83.0,100,83
26,84.0,100,84
27,85.0,100,85
28,85.0,100,85
29,85.0,100,85
30,86.0,100,86
31,87.0,100,87
32,88.0,100,88
33,88.0,100,88
34,88.0,100,88
35,88.0,100,88
36,88.0,100,88
37,88.0,100,88
38,88.0,100,88
39,88.0,100,88
40,88.0,100,88
41,89.0,100,89
42,89.0,100,89
43,89.0,100,89
44,90.0,100,90
45,90.0,100,90
46,90.0,100,90
47,90.0,100,90
48,90.0,100,90
49,90.0,100,90
50,90.0,100,90
51,90.0,100,90
52,90.0,100,90
53,90.0,100,90
54,90.0,100,90
55,90.0,100,90
56,90.0,100,90
57,90.0,100,90
58,90.0,100,90
59,90.0,100,90
60,90.0,100,90
61,90.0,100,90
62,90.0,100,90
63,90.0,100,90
64,91.0,100,91
65,91.0,100,91
66,91.0,100,91
67,91.0,100,91
68,91.0,100,91
69,91.0,100,91
70,91.0,100,91
71,91.0,100,91
72,91.0,100,91
73,91.0,100,91
74,91.0,100,91
75,91.0,100,91
76,91.0,100,91
77,91.0,100,91
78,91.0,100,91
79,91.0,100,91
80,91.0,100,91
81,91.0,100,91
82,91.0,100,91
83,91.0,100,91
84,91.0,100,91
85,91.0,100,91
86,91.0,100,91
87,91.0,100,91
88,91.0,100,91
89,91.0,100,91
90,91.0,100,91
91,91.0,100,91
92,91.0,100,91
93,91.0,100,91
94,91.0,100,91
95,91.0,100,91
96,91.0,100,91
97,91.0,100,91
98,91.0,100,91
99,92.0,100,92
100,92.0,100,92
