Generation, Score, Total, Percent
1,10.0,100,10
2,17.0,100,17
3,23.0,100,23
4,23.0,100,23
5,23.0,100,23
6,23.0,100,23
7,23.0,100,23
8,23.0,100,23
9,23.0,100,23
10,23.0,100,23
11,23.0,100,23
12,23.0,100,23
13,23.0,100,23
14,23.0,100,23
15,23.0,100,23
16,23.0,100,23
17,24.0,100,24
18,24.0,100,24
19,26.0,100,26
20,26.0,100,26
21,33.0,100,33
22,33.0,100,33
23,35.0,100,35
24,36.0,100,36
25,37.0,100,37
26,39.0,100,39
27,39.0,100,39
28,39.0,100,39
29,40.0,100,40
30,44.0,100,44
31,45.0,100,45
32,45.0,100,45
33,46.0,100,46
34,48.0,100,48
35,45.0,100,45
36,48.0,100,48
37,47.0,100,47
38,47.0,100,47
39,48.0,100,48
40,48.0,100,48
41,49.0,100,49
42,52.0,100,52
43,52.0,100,52
44,52.0,100,52
45,51.0,100,51
46,52.0,100,52
47,53.0,100,53
48,53.0,100,53
49,54.0,100,54
50,53.0,100,53
51,52.0,100,52
52,55.0,100,55
53,51.0,100,51
54,53.0,100,53
55,54.0,100,54
56,56.0,100,56
57,58.0,100,58
58,59.0,100,59
59,60.0,100,60
60,60.0,100,60
61,60.0,100,60
62,60.0,100,60
63,61.0,100,61
64,59.0,100,59
65,59.0,100,59
66,59.0,100,59
67,59.0,100,59
68,62.0,100,62
69,61.0,100,61
70,60.0,100,60
71,61.0,100,61
72,60.0,100,60
73,62.0,100,62
74,64.0,100,64
75,65.0,100,65
76,65.0,100,65
77,63.0,100,63
78,61.0,100,61
79,61.0,100,61
80,63.0,100,63
81,62.0,100,62
82,64.0,100,64
83,63.0,100,63
84,67.0,100,67
85,66.0,100,66
86,66.0,100,66
87,65.0,100,65
88,66.0,100,66
89,63.0,100,63
90,65.0,100,65
91,68.0,100,68
92,67.0,100,67
93,67.0,100,67
94,67.0,100,67
95,68.0,100,68
96,69.0,100,69
97,68.0,100,68
98,70.0,100,70
99,70.0,100,70
100,71.0,100,71
