Generation, Score, Total, Percent
1,12.0,100,12
2,16.0,100,16
3,19.0,100,19
4,15.0,100,15
5,16.0,100,16
6,18.0,100,18
7,19.0,100,19
8,20.0,100,20
9,22.0,100,22
10,21.0,100,21
11,17.0,100,17
12,19.0,100,19
13,17.0,100,17
14,18.0,100,18
15,24.0,100,24
16,28.0,100,28
17,29.0,100,29
18,30.0,100,30
19,30.0,100,30
20,32.0,100,32
21,32.0,100,32
22,34.0,100,34
23,35.0,100,35
24,36.0,100,36
25,34.0,100,34
26,35.0,100,35
27,37.0,100,37
28,37.0,100,37
29,40.0,100,40
30,39.0,100,39
31,39.0,100,39
32,42.0,100,42
33,43.0,100,43
34,41.0,100,41
35,43.0,100,43
36,42.0,100,42
37,44.0,100,44
38,45.0,100,45
39,44.0,100,44
40,46.0,100,46
41,46.0,100,46
42,46.0,100,46
43,47.0,100,47
44,50.0,100,50
45,50.0,100,50
46,52.0,100,52
47,53.0,100,53
48,52.0,100,52
49,52.0,100,52
50,53.0,100,53
51,51.0,100,51
52,52.0,100,52
53,52.0,100,52
54,54.0,100,54
55,53.0,100,53
56,53.0,100,53
57,55.0,100,55
58,56.0,100,56
59,55.0,100,55
60,54.0,100,54
61,55.0,100,55
62,55.0,100,55
63,54.0,100,54
64,55.0,100,55
65,56.0,100,56
66,56.0,100,56
67,57.0,100,57
68,58.0,100,58
69,60.0,100,60
70,60.0,100,60
71,61.0,100,61
72,59.0,100,59
73,61.0,100,61
74,61.0,100,61
75,62.0,100,62
76,61.0,100,61
77,62.0,100,62
78,63.0,100,63
79,64.0,100,64
80,63.0,100,63
81,63.0,100,63
82,63.0,100,63
83,62.0,100,62
84,63.0,100,63
85,63.0,100,63
86,62.0,100,62
87,64.0,100,64
88,64.0,100,64
89,64.0,100,64
90,64.0,100,64
91,65.0,100,65
92,65.0,100,65
93,65.0,100,65
94,63.0,100,63
95,63.0,100,63
96,64.0,100,64
97,65.0,100,65
98,66.0,100,66
99,65.0,100,65
100,65.0,100,65
