Generation, Score, Total, Percent
1,9.0,100,9
2,12.0,100,12
3,18.0,100,18
4,25.0,100,25
5,31.0,100,31
6,39.0,100,39
7,46.0,100,46
8,47.0,100,47
9,53.0,100,53
10,59.0,100,59
11,63.0,100,63
12,66.0,100,66
13,67.0,100,67
14,71.0,100,71
15,72.0,100,72
16,75.0,100,75
17,79.0,100,79
18,81.0,100,81
19,84.0,100,84
20,87.0,100,87
21,87.0,100,87
22,88.0,100,88
23,89.0,100,89
24,89.0,100,89
25,89.0,100,89
26,90.0,100,90
27,90.0,100,90
28,90.0,100,90
29,90.0,100,90
30,90.0,100,90
31,90.0,100,90
32,90.0,100,90
33,90.0,100,90
34,90.0,100,90
35,90.0,100,90
36,90.0,100,90
37,92.0,100,92
38,92.0,100,92
39,92.0,100,92
40,92.0,100,92
41,92.0,100,92
42,92.0,100,92
43,92.0,100,92
44,92.0,100,92
45,92.0,100,92
46,92.0,100,92
47,92.0,100,92
48,93.0,100,93
49,93.0,100,93
50,93.0,100,93
51,93.0,100,93
52,94.0,100,94
53,94.0,100,94
54,94.0,100,94
55,95.0,100,95
56,95.0,100,95
57,95.0,100,95
58,95.0,100,95
59,95.0,100,95
60,95.0,100,95
61,95.0,100,95
62,95.0,100,95
63,95.0,100,95
64,95.0,100,95
65,95.0,100,95
66,95.0,100,95
67,95.0,100,95
68,95.0,100,95
69,95.0,100,95
70,95.0,100,95
71,95.0,100,95
72,95.0,100,95
73,95.0,100,95
74,95.0,100,95
75,95.0,100,95
76,95.0,100,95
77,95.0,100,95
78,95.0,100,95
79,95.0,100,95
80,95.0,100,95
81,95.0,100,95
82,95.0,100,95
83,95.0,100,95
84,95.0,100,95
85,95.0,100,95
86,95.0,100,95
87,95.0,100,95
88,95.0,100,95
89,95.0,100,95
90,95.0,100,95
91,95.0,100,95
92,95.0,100,95
93,95.0,100,95
94,95.0,100,95
95,95.0,100,95
96,95.0,100,95
97,95.0,100,95
98,95.0,100,95
99,95.0,100,95
100,95.0,100,95
