Generation, Score, Total, Percent
1,93.0,100,93
2,93.0,100,93
3,93.0,100,93
4,93.0,100,93
5,93.0,100,93
6,93.0,100,93
7,93.0,100,93
8,93.0,100,93
9,93.0,100,93
10,93.0,100,93
11,93.0,100,93
12,93.0,100,93
13,93.0,100,93
14,93.0,100,93
15,93.0,100,93
16,93.0,100,93
17,93.0,100,93
18,93.0,100,93
19,93.0,100,93
20,93.0,100,93
21,93.0,100,93
22,93.0,100,93
23,93.0,100,93
24,93.0,100,93
25,94.0,100,94
26,94.0,100,94
27,94.0,100,94
28,94.0,100,94
29,94.0,100,94
30,94.0,100,94
31,94.0,100,94
32,94.0,100,94
33,94.0,100,94
34,94.0,100,94
35,94.0,100,94
36,94.0,100,94
37,94.0,100,94
38,94.0,100,94
39,94.0,100,94
40,94.0,100,94
41,94.0,100,94
42,94.0,100,94
43,94.0,100,94
44,94.0,100,94
45,94.0,100,94
46,94.0,100,94
47,94.0,100,94
48,94.0,100,94
49,94.0,100,94
50,94.0,100,94
51,94.0,100,94
52,94.0,100,94
53,94.0,100,94
54,94.0,100,94
55,94.0,100,94
56,94.0,100,94
57,94.0,100,94
58,94.0,100,94
59,94.0,100,94
60,94.0,100,94
61,94.0,100,94
62,94.0,100,94
63,94.0,100,94
64,94.0,100,94
65,94.0,100,94
66,94.0,100,94
67,94.0,100,94
68,94.0,100,94
69,94.0,100,94
70,94.0,100,94
71,94.0,100,94
72,94.0,100,94
73,94.0,100,94
74,94.0,100,94
75,94.0,100,94
76,94.0,100,94
77,94.0,100,94
78,94.0,100,94
79,94.0,100,94
80,94.0,100,94
81,94.0,100,94
82,94.0,100,94
83,94.0,100,94
84,94.0,100,94
85,94.0,100,94
86,94.0,100,94
87,94.0,100,94
88,94.0,100,94
89,94.0,100,94
90,94.0,100,94
91,94.0,100,94
92,94.0,100,94
93,94.0,100,94
94,94.0,100,94
95,94.0,100,94
96,94.0,100,94
97,94.0,100,94
98,94.0,100,94
99,94.0,100,94
100,94.0,100,94
