Generation, Score, Total, Percent
1,10.0,100,10
2,21.0,100,21
3,23.0,100,23
4,23.0,100,23
5,23.0,100,23
6,23.0,100,23
7,23.0,100,23
8,23.0,100,23
9,23.0,100,23
10,23.0,100,23
11,23.0,100,23
12,23.0,100,23
13,23.0,100,23
14,23.0,100,23
15,23.0,100,23
16,23.0,100,23
17,23.0,100,23
18,27.0,100,27
19,30.0,100,30
20,32.0,100,32
21,32.0,100,32
22,30.0,100,30
23,35.0,100,35
24,33.0,100,33
25,35.0,100,35
26,35.0,100,35
27,35.0,100,35
28,37.0,100,37
29,41.0,100,41
30,41.0,100,41
31,43.0,100,43
32,44.0,100,44
33,42.0,100,42
34,42.0,100,42
35,44.0,100,44
36,46.0,100,46
37,46.0,100,46
38,46.0,100,46
39,46.0,100,46
40,48.0,100,48
41,49.0,100,49
42,49.0,100,49
43,49.0,100,49
44,47.0,100,47
45,48.0,100,48
46,49.0,100,49
47,50.0,100,50
48,50.0,100,50
49,50.0,100,50
50,50.0,100,50
51,53.0,100,53
52,52.0,100,52
53,55.0,100,55
54,54.0,100,54
55,55.0,100,55
56,56.0,100,56
57,55.0,100,55
58,55.0,100,55
59,55.0,100,55
60,56.0,100,56
61,54.0,100,54
62,55.0,100,55
63,56.0,100,56
64,58.0,100,58
65,54.0,100,54
66,55.0,100,55
67,56.0,100,56
68,55.0,100,55
69,59.0,100,59
70,56.0,100,56
71,55.0,100,55
72,55.0,100,55
73,56.0,100,56
74,58.0,100,58
75,56.0,100,56
76,56.0,100,56
77,55.0,100,55
78,59.0,100,59
79,59.0,100,59
80,61.0,100,61
81,61.0,100,61
82,63.0,100,63
83,65.0,100,65
84,63.0,100,63
85,64.0,100,64
86,64.0,100,64
87,65.0,100,65
88,63.0,100,63
89,64.0,100,64
90,68.0,100,68
91,65.0,100,65
92,66.0,100,66
93,67.0,100,67
94,65.0,100,65
95,65.0,100,65
96,66.0,100,66
97,68.0,100,68
98,66.0,100,66
99,67.0,100,67
100,67.0,100,67
