Generation, Score, Total, Percent
1,11.0,100,11
2,18.0,100,18
3,21.0,100,21
4,23.0,100,23
5,25.0,100,25
6,29.0,100,29
7,39.0,100,39
8,49.0,100,49
9,52.0,100,52
10,57.0,100,57
11,63.0,100,63
12,65.0,100,65
13,70.0,100,70
14,72.0,100,72
15,72.0,100,72
16,76.0,100,76
17,77.0,100,77
18,80.0,100,80
19,81.0,100,81
20,84.0,100,84
21,85.0,100,85
22,86.0,100,86
23,85.0,100,85
24,85.0,100,85
25,86.0,100,86
26,87.0,100,87
27,87.0,100,87
28,87.0,100,87
29,87.0,100,87
30,87.0,100,87
31,87.0,100,87
32,87.0,100,87
33,87.0,100,87
34,87.0,100,87
35,88.0,100,88
36,89.0,100,89
37,89.0,100,89
38,90.0,100,90
39,90.0,100,90
40,91.0,100,91
41,92.0,100,92
42,92.0,100,92
43,92.0,100,92
44,92.0,100,92
45,92.0,100,92
46,92.0,100,92
47,92.0,100,92
48,92.0,100,92
49,92.0,100,92
50,92.0,100,92
51,92.0,100,92
52,92.0,100,92
53,92.0,100,92
54,92.0,100,92
55,92.0,100,92
56,92.0,100,92
57,92.0,100,92
58,92.0,100,92
59,93.0,100,93
60,93.0,100,93
61,94.0,100,94
62,94.0,100,94
63,94.0,100,94
64,94.0,100,94
65,94.0,100,94
66,94.0,100,94
67,94.0,100,94
68,94.0,100,94
69,94.0,100,94
70,94.0,100,94
71,94.0,100,94
72,94.0,100,94
73,94.0,100,94
74,94.0,100,94
75,94.0,100,94
76,94.0,100,94
77,94.0,100,94
78,94.0,100,94
79,94.0,100,94
80,94.0,100,94
81,94.0,100,94
82,94.0,100,94
83,94.0,100,94
84,94.0,100,94
85,94.0,100,94
86,94.0,100,94
87,94.0,100,94
88,94.0,100,94
89,94.0,100,94
90,94.0,100,94
91,94.0,100,94
92,94.0,100,94
93,94.0,100,94
94,94.0,100,94
95,94.0,100,94
96,94.0,100,94
97,94.0,100,94
98,94.0,100,94
99,94.0,100,94
100,94.0,100,94
