Generation, Score, Total, Percent
1,31.0,100,31
2,34.0,100,34
3,36.0,100,36
4,41.0,100,41
5,43.0,100,43
6,47.0,100,47
7,47.0,100,47
8,50.0,100,50
9,50.0,100,50
10,52.0,100,52
11,55.0,100,55
12,57.0,100,57
13,58.0,100,58
14,59.0,100,59
15,59.0,100,59
16,62.0,100,62
17,62.0,100,62
18,64.0,100,64
19,64.0,100,64
20,65.0,100,65
21,65.0,100,65
22,66.0,100,66
23,66.0,100,66
24,67.0,100,67
25,68.0,100,68
26,68.0,100,68
27,68.0,100,68
28,68.0,100,68
29,69.0,100,69
30,70.0,100,70
31,70.0,100,70
32,70.0,100,70
33,70.0,100,70
34,72.0,100,72
35,73.0,100,73
36,73.0,100,73
37,73.0,100,73
38,73.0,100,73
39,73.0,100,73
40,73.0,100,73
41,74.0,100,74
42,74.0,100,74
43,74.0,100,74
44,74.0,100,74
45,74.0,100,74
46,74.0,100,74
47,74.0,100,74
48,75.0,100,75
49,76.0,100,76
50,76.0,100,76
51,76.0,100,76
52,76.0,100,76
53,76.0,100,76
54,76.0,100,76
55,76.0,100,76
56,76.0,100,76
57,76.0,100,76
58,76.0,100,76
59,76.0,100,76
60,76.0,100,76
61,76.0,100,76
62,77.0,100,77
63,77.0,100,77
64,77.0,100,77
65,77.0,100,77
66,77.0,100,77
67,77.0,100,77
68,77.0,100,77
69,77.0,100,77
70,77.0,100,77
71,77.0,100,77
72,77.0,100,77
73,77.0,100,77
74,77.0,100,77
75,77.0,100,77
76,77.0,100,77
77,78.0,100,78
78,78.0,100,78
79,78.0,100,78
80,78.0,100,78
81,78.0,100,78
82,78.0,100,78
83,78.0,100,78
84,78.0,100,78
85,78.0,100,78
86,78.0,100,78
87,78.0,100,78
88,78.0,100,78
89,78.0,100,78
90,78.0,100,78
91,78.0,100,78
92,79.0,100,79
93,79.0,100,79
94,80.0,100,80
95,80.0,100,80
96,80.0,100,80
97,79.0,100,79
98,80.0,100,80
99,80.0,100,80
100,80.0,100,80
